レベル,仕上表 グループ名,仕上表 グループ番号*,仕上表 整列番号,仕上表 別名(室名),名前,面積,Unnamed: 7,排煙,排煙告示,施工令,仕上表 選択*,仕上表* 内装制限 根拠,内装制限,SL,FL,CH,床,Unnamed: 18,幅木,Unnamed: 20,腰壁,壁,Unnamed: 23,廻り縁,天井,Unnamed: 26,備考
3FL,共通,4,300,階段室,階段室,14.1075 m²,,-,-,d,はい,d,不,±0,±0,2500(7階),コンクリート金ごて押え,ビニル床シート(A),60,-,-,強化GB,EP-2,-,不燃GB,岩綿吸音板(A),
4FL,共通,4,300,階段室,階段室,14.1075 m²,,-,-,d,はい,d,不,±0,±0,2500(7階),コンクリート金ごて押え,ビニル床シート(A),60,-,-,強化GB,EP-2,-,不燃GB,岩綿吸音板(A),
5FL,共通,4,300,階段室,階段室,14.1075 m²,,-,-,d,はい,d,不,±0,±0,2500(7階),コンクリート金ごて押え,ビニル床シート(A),60,-,-,強化GB,EP-2,-,不燃GB,岩綿吸音板(A),
6FL,共通,4,300,階段室,階段室,14.1075 m²,,-,-,d,はい,d,不,±0,±0,2500(7階),コンクリート金ごて押え,ビニル床シート(A),60,-,-,強化GB,EP-2,-,不燃GB,岩綿吸音板(A),
7FL,共通,4,300,階段室,階段室,14.1075 m²,,-,-,d,はい,d,不,±0,±0,2500(7階),コンクリート金ごて押え,ビニル床シート(A),60,-,-,強化GB,EP-2,-,不燃GB,岩綿吸音板(A),
2FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,301,PS,PS,3.0500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,301,PS,PS,3.1164 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,301,PS,PS,2.1090 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,301,PS,PS,1.1600 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
1FL,共通,4,301,PS,PS,4.7142 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
1FL,共通,4,301,PS,PS,1.0888 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
2FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
1FL,共通,4,302,EPS,EPS,5.1854 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
3FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
4FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
5FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
6FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,302,EPS,EPS,9.1500 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,302,EPS,EPS,5.6100 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
7FL,共通,4,302,EPS,EPS,2.2000 m²,,告示,2,,いいえ,2,(不),±0,±0,直天,コンクリート金ごて押え,防塵塗装(A),-,-,-,-,素地,-,-,素地,
